月份,平均光学效率,平均余弦效率,平均阴影遮挡效率,平均截断效率,平均输出热功率(MW),单位面积平均输出热功率(kW/m2)
1,0.2913745331480917,0.719935764230188,0.46160197907527944,0.9817775,16.088827220428065,0.2561099525696922
2,0.35029876822993283,0.7404403532037784,0.5396363702292843,0.9816175000000001,20.84826846989298,0.33187310521956354
3,0.39786292335723816,0.7625184938943376,0.5953157629206258,0.9815600000000002,24.970113731722286,0.3974866878656843
4,0.42132306693176724,0.7802467690468962,0.6160301475165211,0.9816974999999999,27.283895318202998,0.43431861378865005
5,0.4289643977841381,0.7897182532475946,0.6194776188649025,0.981865,28.172428800759086,0.44846273162621914
6,0.43084975485618565,0.792336430551539,0.6200181764040832,0.9819949999999998,28.39864022228186,0.4520636775275685
7,0.4281051619930687,0.7887718298396742,0.6192472700926642,0.9814674999999999,28.078420307806972,0.4469662576855614
8,0.4186383628087157,0.7776691936890056,0.6143103476180117,0.9814125,26.998607245224502,0.42977725637097264
9,0.39123918365547,0.7586769903974624,0.5882225826787011,0.9817800000000002,24.362271530317912,0.38781075342753757
10,0.33947659819948967,0.7363640200508622,0.5257237288172377,0.98181,19.955327644658773,0.3176588291094998
11,0.2832139985873035,0.7172750483162486,0.45036570889679883,0.9817625,15.443464165477621,0.24583674252590929
12,0.26451278537673106,0.7111633736703087,0.42413067860614084,0.98216,13.969234096687382,0.2223692151653515
