月份,平均光学效率,平均余弦效率,平均阴影遮挡效率,平均截断效率,平均输出热功率(MW),单位面积平均输出热功率(kW/m2)
1,0.20771843993414635,0.7147201460295354,0.33060257306144375,0.980896875,17.188959836366948,0.18245753902393586
2,0.24992464576106105,0.7344012470319986,0.3873450592059694,0.980890625,22.30985858655,0.23681490517312756
3,0.2943585098653293,0.7556449851427531,0.44383124228988474,0.9808390625,27.735037876892846,0.2944021513766649
4,0.32480470491590074,0.7727320596308752,0.47940884101445425,0.9804546875000002,31.573778044395578,0.3351496480595658
5,0.33853979849989874,0.7818676771167583,0.49378055278865923,0.9807703125,33.36132112464395,0.35412407783462074
6,0.34184036747501534,0.78439323101685,0.496877451392195,0.9809687500000001,33.80482810006617,0.3588318200159877
7,0.33737205979072366,0.7809547228637108,0.4925534518119597,0.9809546874999999,33.20353598954303,0.35244921863900125
8,0.3208126818560914,0.7702464949784729,0.47488503809829075,0.980725,31.05993158150171,0.32969526559848117
9,0.28707758179534626,0.7519454415150537,0.4348545470926017,0.9809906249999999,26.833628300707442,0.28483386018923496
10,0.2414341399129963,0.7304844394616371,0.37628489400776,0.9804578124999997,21.282251613327293,0.22590705262108624
11,0.20229130211249807,0.7121705040442248,0.3231178779210387,0.9809093750000001,16.529697579227907,0.17545959556755167
12,0.18991538280878598,0.706318181721847,0.30590703201716923,0.9808546875000002,15.02409571290238,0.15947791814816556
