month,time,D,alpha_deg,gamma_deg,sx,sy,sz,DNI_kW_m2
1,9.0,-59,17.430915460183293,135.77539232606105,0.6654441702982231,-0.6837035016011902,0.2995556344226912,0.7925396841601169
1,10.5,-59,27.206169753432686,156.11295277254948,0.36013578983042005,-0.8131888676565366,0.45719369899715306,0.9100911454852126
1,12.0,-59,30.83375539142462,-180.0,-0.0,-0.8586580815537874,0.5125488259496547,0.9391840362887128
1,13.5,-59,27.206169753432686,-156.11295277254948,-0.36013578983042005,-0.8131888676565366,0.45719369899715306,0.9100911454852126
1,15.0,-59,17.430915460183293,-135.77539232606105,-0.6654441702982231,-0.6837035016011902,0.2995556344226912,0.7925396841601169
2,9.0,-28,24.830779231476317,130.02489695689502,0.6949716238031484,-0.5836652363454409,0.41993967899001383,0.8875714408097994
2,10.5,-28,35.77279809753639,152.3820962562378,0.37611593251453385,-0.7188961980441514,0.5845725461791607,0.9708000370097122
2,12.0,-28,39.96981305979434,-180.0,-0.0,-0.766382996825578,0.6423839211691449,0.9921771917861091
2,13.5,-28,35.77279809753639,-152.3820962562378,-0.37611593251453385,-0.7188961980441514,0.5845725461791607,0.9708000370097122
2,15.0,-28,24.830779231476317,-130.02489695689502,-0.6949716238031484,-0.5836652363454409,0.41993967899001383,0.8875714408097994
3,9.0,2,33.71405157994201,121.78896887595572,0.7070404386898803,-0.43819521033461456,0.5550484444596027,0.9585851534948294
3,10.5,2,46.26461347808377,146.39283384590036,0.3826475280646195,-0.5757745807852754,0.7225403112543802,1.0172624266141321
3,12.0,2,51.384864037973585,-180.0,-0.0,-0.6240860310552336,0.7813556333973193,1.0329830152587962
3,13.5,2,46.26461347808377,-146.39283384590036,-0.3826475280646195,-0.5757745807852754,0.7225403112543802,1.0172624266141321
3,15.0,2,33.71405157994201,-121.78896887595572,-0.7070404386898803,-0.43819521033461456,0.5550484444596027,0.9585851534948294
4,9.0,33,42.03851131075659,111.56430425409032,0.6907104552006375,-0.27297396326186163,0.669629959348923,1.0012392556638674
4,10.5,33,56.43440505818728,137.46037016295472,0.37380980468478947,-0.4073757660304211,0.8332533919358789,1.0453202150611232
4,12.0,33,62.962639069647814,-180.0,-0.0,-0.4545714029153463,0.8907103006317902,1.0575644144419905
4,13.5,33,56.43440505818728,-137.46037016295472,-0.37380980468478947,-0.4073757660304211,0.8332533919358789,1.0453202150611232
4,15.0,33,42.03851131075659,-111.56430425409032,-0.6907104552006375,-0.27297396326186163,0.669629959348923,1.0012392556638674
5,9.0,63,47.288652983631295,102.62625640807093,0.6619015381773448,-0.14827103429310473,0.7347802761017188,1.0207025820082094
5,10.5,63,63.072354178737456,127.72045274887455,0.3582185311423481,-0.2770670577447496,0.8915791212555878,1.057739329886917
5,12.0,63,71.19827433886991,-180.0,-0.0,-0.3222942067102552,0.9466395535371461,1.0682654196136023
5,13.5,63,63.072354178737456,-127.72045274887455,-0.3582185311423481,-0.2770670577447496,0.8915791212555878,1.057739329886917
5,15.0,63,47.288652983631295,-102.62625640807093,-0.6619015381773448,-0.14827103429310473,0.7347802761017188,1.0207025820082094
6,9.0,94,48.910953604134704,99.16441617255316,0.6488418572903426,-0.10467595384634712,0.7536890532005729,1.0258377775008265
6,10.5,94,65.147693115794,123.330522707202,0.3511506827771487,-0.23093076101614884,0.907394171020315,1.060873666505148
6,12.0,94,74.02215996272443,-180.0,-0.0,-0.27526555349228166,0.9613682307319023,1.070906192835357
6,13.5,94,65.147693115794,-123.330522707202,-0.3511506827771487,-0.23093076101614884,0.907394171020315,1.060873666505148
6,15.0,94,48.910953604134704,-99.16441617255316,-0.6488418572903426,-0.10467595384634712,0.7536890532005729,1.0258377775008265
7,9.0,124,46.72471201416564,103.7340152442977,0.6659046899413468,-0.16274895198680045,0.7280684875348726,1.018827782979376
7,10.5,124,62.35206259847463,129.04700811732948,0.36038502126531935,-0.29232392819612685,0.8858156452962326,1.0565735829846747
7,12.0,124,70.25560720274163,-180.0,-0.0,-0.33782460899487254,0.9412090806815782,1.0672739615444855
7,13.5,124,62.35206259847463,-129.04700811732948,-0.36038502126531935,-0.29232392819612685,0.8858156452962326,1.0565735829846747
7,15.0,124,46.72471201416564,-103.7340152442977,-0.6659046899413468,-0.16274895198680045,0.7280684875348726,1.018827782979376
8,9.0,155,40.72995875077304,113.41834594279071,0.6953718725670562,-0.3011786678784591,0.6524947270725968,0.9956097226800013
8,10.5,155,54.80770515891135,139.2326142178001,0.3763325455846491,-0.4364875119300717,0.8172224097899382,1.041648305926071
8,12.0,155,61.05291546582719,-180.0,-0.0,-0.48400165935691514,0.8750670795657627,1.0543649589786372
8,13.5,155,54.80770515891135,-139.2326142178001,-0.3763325455846491,-0.4364875119300717,0.8172224097899382,1.041648305926071
8,15.0,155,40.72995875077304,-113.41834594279071,-0.6953718725670562,-0.3011786678784591,0.6524947270725968,0.9956097226800013
9,9.0,186,32.075681649167706,123.46166207646212,0.7069037531931104,-0.46720946267854013,0.5310389832254542,0.9479074216376175
9,10.5,186,44.30665986546851,147.6824895035217,0.38257355440682106,-0.604762236199851,0.6984984703885091,1.0102231630242495
9,12.0,186,49.226959074171916,-180.0,-0.0,-0.6530643468702355,0.7573024223168396,1.026795227213093
9,13.5,186,44.30665986546851,-147.6824895035217,-0.38257355440682106,-0.604762236199851,0.6984984703885091,1.0102231630242495
9,15.0,186,32.075681649167706,-123.46166207646212,-0.7069037531931104,-0.46720946267854013,0.5310389832254542,0.9479074216376175
10,9.0,216,23.307488767846007,131.27124769819937,0.6902610678827409,-0.6057957047265353,0.39566554348370875,0.871393739595667
10,10.5,216,33.999282391485075,153.21788289960944,0.37356659802088876,-0.74011006352315,0.5591825200369365,0.9603540966246885
10,12.0,216,38.06842027665822,-180.0,-0.0,-0.7872749941685555,0.6166020463450483,0.9830280897398642
10,13.5,216,33.999282391485075,-153.21788289960944,-0.37356659802088876,-0.74011006352315,0.5591825200369365,0.9603540966246885
10,15.0,216,23.307488767846007,-131.27124769819937,-0.6902610678827409,-0.6057957047265353,0.39566554348370875,0.871393739595667
11,9.0,247,16.51246998844705,136.44381104251792,0.6606470926324236,-0.6948108567974981,0.2842240177617872,0.7772951094738468
11,10.5,247,26.15019252767383,156.52743531826252,0.35753963010559103,-0.8233627841283403,0.4407256954346836,0.9004588187516018
11,12.0,247,29.71471749514727,-180.0,-0.0,-0.8685042179349334,0.49568177637394517,0.9308152229992321
11,13.5,247,26.15019252767383,-156.52743531826252,-0.35753963010559103,-0.8233627841283403,0.4407256954346836,0.9004588187516018
11,15.0,247,16.51246998844705,-136.44381104251792,-0.6606470926324236,-0.6948108567974981,0.2842240177617872,0.7772951094738468
12,9.0,277,14.431880330455707,137.9298990770438,0.6488960018120815,-0.7189012392532856,0.24922878451813185,0.7391583800545818
12,10.5,277,23.76252244035614,157.43634818825853,0.35117998558115804,-0.8451665821277042,0.40294672871459364,0.8763811468209349
12,12.0,277,27.188879515262194,-180.0,-0.0,-0.8895050742513059,0.4569252924507233,0.9099380317765404
12,13.5,277,23.76252244035614,-157.43634818825853,-0.35117998558115804,-0.8451665821277042,0.40294672871459364,0.8763811468209349
12,15.0,277,14.431880330455707,-137.9298990770438,-0.6488960018120815,-0.7189012392532856,0.24922878451813185,0.7391583800545818
