month,time,DNI_kW_m2,eta_optical_mean,eta_cos_mean,eta_shadow_mean,eta_trunc_mean,power_MW,unit_power_kW_m2
1,9.0,0.7925396841601169,0.4301034440712585,0.7733010575029592,0.6625863585996732,0.979671875,8.431427365194457,0.34087404772041374
1,10.5,0.9100911454852126,0.5005846414135888,0.7688387140721817,0.7600548876942468,0.9794609375000001,11.268589933664739,0.45557764971639747
1,12.0,0.9391840362887128,0.4976279831199905,0.7443886259279822,0.7722233971553757,0.979203125,11.560128495311279,0.4673642577568442
1,13.5,0.9100911454852126,0.46595550267472385,0.7012100726801078,0.7585977418042248,0.9793203125000001,10.48905829821081,0.4240619771743775
1,15.0,0.7925396841601169,0.38140186287926914,0.6428056578188408,0.6641177585705573,0.9793828125,7.476717864374119,0.30227611194441617
2,9.0,0.8875714408097994,0.501736952523194,0.7900601909771133,0.749071313258016,0.9791093750000001,11.01505252873777,0.44532738985852915
2,10.5,0.9708000370097122,0.5236869844398503,0.7860979732690516,0.7761129895707548,0.97865625,12.575021311704319,0.5083953438757113
2,12.0,0.9921771917861091,0.5125409843756606,0.7614770425713524,0.7764600045001294,0.9794765625000001,12.578388467187452,0.508531474553131
2,13.5,0.9708000370097122,0.48766921213723646,0.7175396937188957,0.7762514306551815,0.9798203124999999,11.71014540727461,0.4734292891913263
2,15.0,0.8875714408097994,0.438252481937527,0.6577660349322699,0.7489705124823834,0.97996875,9.621324650526722,0.38898038683176145
3,9.0,0.9585851534948294,0.5337689653895018,0.8063806763788276,0.7753003186910638,0.9800625000000001,12.655846041026027,0.511663005618672
3,10.5,1.0172624266141321,0.5366366325560513,0.8030085292264386,0.7764600045001294,0.9797421875000001,13.502695837084648,0.5459002830440052
3,12.0,1.0329830152587962,0.5246389550457645,0.7788454684016397,0.7764600045001294,0.9790703124999999,13.404816719649551,0.5419431297053979
3,13.5,1.0172624266141321,0.49996542451408,0.735338772451391,0.7764600045001294,0.9791250000000001,12.579985499904167,0.5085960409643577
3,15.0,0.9585851534948294,0.4638420072754185,0.6759807607984681,0.7753090305883746,0.9792500000000001,10.997853775845671,0.4446320617414568
4,9.0,1.0012392556638674,0.5421226881468582,0.8172231451162643,0.7764600045001294,0.9782890625,13.425875548114817,0.5427945167586552
4,10.5,1.0453202150611232,0.5452793499774864,0.8144075037995285,0.7764600045001294,0.9800000000000002,14.098586249312504,0.5699915273868555
4,12.0,1.0575644144419905,0.5340620328880737,0.7914134003300943,0.7764600045001294,0.9797187500000001,13.970298924221145,0.5648050010869747
4,13.5,1.0453202150611232,0.5105190446960628,0.7497783509256086,0.7764600045001294,0.97990625,13.199833780357247,0.5336558775944875
4,15.0,1.0012392556638674,0.4757975661560607,0.6930076426165599,0.7764600045001294,0.9788593750000001,11.783308555381328,0.47638720098477394
5,9.0,1.0207025820082094,0.5463867042180236,0.8212483103075615,0.7764600045001294,0.9794687500000001,13.794517084184038,0.5576983197702925
5,10.5,1.057739329886917,0.5488648866129135,0.8188019802545929,0.7764600045001294,0.9799531250000001,14.359895061862442,0.5805559773644019
5,12.0,1.0682654196136023,0.5374410493491291,0.7970426540608133,0.7764600045001294,0.978203125,14.200942535207869,0.5741296881005221
5,13.5,1.057739329886917,0.5157337209458277,0.7575510907149271,0.7764600045001294,0.9794687500000001,13.493087813192403,0.5455118403933261
5,15.0,1.0207025820082094,0.4837070720074737,0.7038149815495187,0.7764600045001294,0.9801015625000001,12.212056803426934,0.4937210573336593
6,9.0,1.0258377775008265,0.5470802391922513,0.8219059851595805,0.7764600045001294,0.9793203125,13.881515482628636,0.5612155766875997
6,10.5,1.060873666505148,0.5491820683877559,0.8195811754024779,0.7764600045001294,0.9791640625000001,14.410769876593132,0.5826127944693995
6,12.0,1.070906192835357,0.5393259040378905,0.7983189245210355,0.7764600045001294,0.9798124999999998,14.285974660500479,0.5775674505907044
6,13.5,1.060873666505148,0.5175663235339988,0.7597092453400731,0.7764600045001294,0.9800859375,13.581159352523926,0.5490724833071029
6,15.0,1.0258377775008265,0.4852246770646288,0.7072249485483049,0.7764600045001294,0.9785781249999999,12.312003586843364,0.49776180430853506
7,9.0,1.018827782979376,0.5459744808874412,0.8209461831700401,0.7764600045001294,0.9792890625,13.758791481473477,0.5562539699258673
7,10.5,1.0565735829846747,0.548237265714322,0.8184587069345916,0.7764600045001294,0.9793828124999999,14.327666570015992,0.5792530121615024
7,12.0,1.0672739615444855,0.5374042451179167,0.796541704819007,0.7764600045001294,0.9788359375,14.186791042972176,0.5735575576378228
7,13.5,1.0565735829846747,0.5150660310631648,0.7567721547344365,0.7764600045001294,0.9792343749999998,13.46076747446054,0.544205161914104
7,15.0,1.018827782979376,0.4825090532333959,0.7026415751418342,0.7764600045001294,0.979265625,12.159435438393926,0.4915936289732584
8,9.0,0.9956097226800013,0.5416831574007072,0.8158466319156856,0.7764600045001294,0.9795156250000001,13.339563743187764,0.5393050181201455
8,10.5,1.041648305926071,0.5438884546370785,0.8129421835845356,0.7764600045001294,0.97953125,14.013225708371587,0.5665404873854615
