定日镜序号,吸收塔x坐标(m),吸收塔y坐标(m),定日镜宽度(m),定日镜高度(m),定日镜x坐标(m),定日镜y坐标(m),定日镜z坐标(m),镜面面积(m2)
1,0.0,0.0,8.0,8.0,-92.44,55.619,6.0,64.0
2,0.0,0.0,8.0,8.0,-106.588,58.045,6.0,64.0
3,0.0,0.0,8.0,8.0,-92.973,78.014,6.0,64.0
4,0.0,0.0,8.0,8.0,-78.322,74.191,6.0,64.0
5,0.0,0.0,8.0,8.0,-118.291,64.751,6.0,64.0
6,0.0,0.0,8.0,8.0,-102.235,34.447,6.0,64.0
7,0.0,0.0,8.0,8.0,-104.607,85.104,6.0,64.0
8,0.0,0.0,8.0,8.0,-128.465,74.169,6.0,64.0
9,0.0,0.0,8.0,8.0,-115.976,35.774,6.0,64.0
10,0.0,0.0,8.0,8.0,-114.903,93.816,6.0,64.0
11,0.0,0.0,8.0,8.0,-128.062,42.255,6.0,64.0
12,0.0,0.0,8.0,8.0,-137.977,84.552,6.0,64.0
13,0.0,0.0,8.0,8.0,-138.699,52.601,6.0,64.0
14,0.0,0.0,8.0,8.0,-149.505,61.927,6.0,64.0
15,0.0,0.0,8.0,8.0,-123.051,105.096,6.0,64.0
16,0.0,0.0,8.0,8.0,-148.438,93.27,6.0,64.0
17,0.0,0.0,8.0,8.0,-154.993,81.916,6.0,64.0
18,0.0,0.0,8.0,8.0,-75.671,94.889,6.0,64.0
19,0.0,0.0,8.0,8.0,-141.053,104.102,6.0,64.0
20,0.0,0.0,8.0,8.0,-87.463,102.643,6.0,64.0
21,0.0,0.0,8.0,8.0,-160.681,70.105,6.0,64.0
22,0.0,0.0,8.0,8.0,-132.879,114.352,6.0,64.0
23,0.0,0.0,8.0,8.0,-163.5,94.397,6.0,64.0
24,0.0,0.0,8.0,8.0,-98.366,111.033,6.0,64.0
25,0.0,0.0,8.0,8.0,-60.542,89.293,6.0,64.0
26,0.0,0.0,8.0,8.0,-165.471,57.901,6.0,64.0
27,0.0,0.0,8.0,8.0,-149.78,114.93,6.0,64.0
28,0.0,0.0,8.0,8.0,-107.25,11.664,6.0,64.0
29,0.0,0.0,8.0,8.0,-174.423,72.248,6.0,64.0
30,0.0,0.0,8.0,8.0,-145.34,29.671,6.0,64.0
31,0.0,0.0,8.0,8.0,-174.11,102.969,6.0,64.0
32,0.0,0.0,8.0,8.0,-123.962,123.962,6.0,64.0
33,0.0,0.0,8.0,8.0,-157.352,37.777,6.0,64.0
34,0.0,0.0,8.0,8.0,-133.597,18.362,6.0,64.0
35,0.0,0.0,8.0,8.0,-159.832,123.978,6.0,64.0
36,0.0,0.0,8.0,8.0,-105.096,123.051,6.0,64.0
37,0.0,0.0,8.0,8.0,-120.764,12.084,6.0,64.0
38,0.0,0.0,8.0,8.0,-185.643,80.335,6.0,64.0
39,0.0,0.0,8.0,8.0,-169.335,45.373,6.0,64.0
40,0.0,0.0,8.0,8.0,-187.404,106.931,6.0,64.0
41,0.0,0.0,8.0,8.0,-180.536,118.157,6.0,64.0
42,0.0,0.0,8.0,8.0,-133.497,133.497,6.0,64.0
43,0.0,0.0,8.0,8.0,-193.574,95.307,6.0,64.0
44,0.0,0.0,8.0,8.0,-172.997,128.943,6.0,64.0
45,0.0,0.0,8.0,8.0,-114.352,132.879,6.0,64.0
46,0.0,0.0,8.0,8.0,-182.361,48.863,6.0,64.0
47,0.0,0.0,8.0,8.0,-199.024,83.329,6.0,64.0
48,0.0,0.0,8.0,8.0,-164.814,139.25,6.0,64.0
49,0.0,0.0,8.0,8.0,-192.857,123.942,6.0,64.0
50,0.0,0.0,8.0,8.0,-200.33,111.46,6.0,64.0
51,0.0,0.0,8.0,8.0,-143.033,143.033,6.0,64.0
52,0.0,0.0,8.0,8.0,-184.608,135.924,6.0,64.0
53,0.0,0.0,8.0,8.0,-206.996,98.53,6.0,64.0
54,0.0,0.0,8.0,8.0,-172.252,32.592,6.0,64.0
55,0.0,0.0,8.0,8.0,-194.247,56.434,6.0,64.0
56,0.0,0.0,8.0,8.0,-203.734,71.041,6.0,64.0
57,0.0,0.0,8.0,8.0,-156.018,149.039,6.0,64.0
58,0.0,0.0,8.0,8.0,-175.616,147.359,6.0,64.0
59,0.0,0.0,8.0,8.0,-212.828,85.204,6.0,64.0
60,0.0,0.0,8.0,8.0,-209.583,122.456,6.0,64.0
61,0.0,0.0,8.0,8.0,-201.564,135.248,6.0,64.0
62,0.0,0.0,8.0,8.0,-216.79,109.189,6.0,64.0
63,0.0,0.0,8.0,8.0,-79.282,125.374,6.0,64.0
64,0.0,0.0,8.0,8.0,-104.102,141.053,6.0,64.0
65,0.0,0.0,8.0,8.0,-67.426,116.786,6.0,64.0
66,0.0,0.0,8.0,8.0,-192.766,147.518,6.0,64.0
67,0.0,0.0,8.0,8.0,-207.686,58.488,6.0,64.0
68,0.0,0.0,8.0,8.0,-223.159,95.5,6.0,64.0
69,0.0,0.0,8.0,8.0,-165.916,158.2,6.0,64.0
70,0.0,0.0,8.0,8.0,-217.804,71.534,6.0,64.0
71,0.0,0.0,8.0,8.0,-146.642,158.273,6.0,64.0
72,0.0,0.0,8.0,8.0,-217.622,135.239,6.0,64.0
73,0.0,0.0,8.0,8.0,-224.802,122.935,6.0,64.0
74,0.0,0.0,8.0,8.0,-114.93,149.78,6.0,64.0
75,0.0,0.0,8.0,8.0,-55.369,108.002,6.0,64.0
76,0.0,0.0,8.0,8.0,-183.222,159.217,6.0,64.0
77,0.0,0.0,8.0,8.0,-209.77,147.124,6.0,64.0
78,0.0,0.0,8.0,8.0,-231.286,110.252,6.0,64.0
79,0.0,0.0,8.0,8.0,-161.325,12.697,6.0,64.0
80,0.0,0.0,8.0,8.0,-174.206,19.628,6.0,64.0
81,0.0,0.0,8.0,8.0,-228.665,81.442,6.0,64.0
82,0.0,0.0,8.0,8.0,-148.218,5.973,6.0,64.0
83,0.0,0.0,8.0,8.0,-201.269,158.555,6.0,64.0
84,0.0,0.0,8.0,8.0,-237.056,97.228,6.0,64.0
85,0.0,0.0,8.0,8.0,-84.552,137.977,6.0,64.0
86,0.0,0.0,8.0,8.0,-228.366,143.492,6.0,64.0
87,0.0,0.0,8.0,8.0,-210.865,45.718,6.0,64.0
88,0.0,0.0,8.0,8.0,-236.053,130.462,6.0,64.0
89,0.0,0.0,8.0,8.0,-123.978,159.832,6.0,64.0
90,0.0,0.0,8.0,8.0,-187.179,24.643,6.0,64.0
91,0.0,0.0,8.0,8.0,-155.548,168.405,6.0,64.0
92,0.0,0.0,8.0,8.0,-221.902,57.576,6.0,64.0
93,0.0,0.0,8.0,8.0,-172.969,170.3,6.0,64.0
94,0.0,0.0,8.0,8.0,-219.961,156.071,6.0,64.0
95,0.0,0.0,8.0,8.0,-242.996,117.021,6.0,64.0
96,0.0,0.0,8.0,8.0,-192.147,169.495,6.0,64.0
97,0.0,0.0,8.0,8.0,-199.789,31.643,6.0,64.0
98,0.0,0.0,8.0,8.0,-136.721,166.919,6.0,64.0
99,0.0,0.0,8.0,8.0,-233.286,67.068,6.0,64.0
100,0.0,0.0,8.0,8.0,-242.093,83.903,6.0,64.0
101,0.0,0.0,8.0,8.0,-210.864,168.159,6.0,64.0
102,0.0,0.0,8.0,8.0,-93.27,148.438,6.0,64.0
103,0.0,0.0,8.0,8.0,-249.176,103.212,6.0,64.0
104,0.0,0.0,8.0,8.0,-239.465,151.174,6.0,64.0
105,0.0,0.0,8.0,8.0,-248.0,136.722,6.0,64.0
106,0.0,0.0,8.0,8.0,-230.089,165.094,6.0,64.0
107,0.0,0.0,8.0,8.0,-182.43,179.912,6.0,64.0
108,0.0,0.0,8.0,8.0,-255.664,121.791,6.0,64.0
109,0.0,0.0,8.0,8.0,-201.104,179.717,6.0,64.0
110,0.0,0.0,8.0,8.0,-162.047,180.724,6.0,64.0
111,0.0,0.0,8.0,8.0,-254.571,89.078,6.0,64.0
112,0.0,0.0,8.0,8.0,-144.554,177.931,6.0,64.0
113,0.0,0.0,8.0,8.0,-246.382,70.32,6.0,64.0
114,0.0,0.0,8.0,8.0,-213.26,32.778,6.0,64.0
115,0.0,0.0,8.0,8.0,-225.107,43.386,6.0,64.0
116,0.0,0.0,8.0,8.0,-134.713,-6.138,6.0,64.0
117,0.0,0.0,8.0,8.0,-219.904,178.435,6.0,64.0
118,0.0,0.0,8.0,8.0,-39.931,100.22,6.0,64.0
119,0.0,0.0,8.0,8.0,-262.43,106.431,6.0,64.0
120,0.0,0.0,8.0,8.0,-256.929,148.338,6.0,64.0
121,0.0,0.0,8.0,8.0,-247.869,163.026,6.0,64.0
122,0.0,0.0,8.0,8.0,-237.004,52.435,6.0,64.0
123,0.0,0.0,8.0,8.0,-107.25,-11.664,6.0,64.0
124,0.0,0.0,8.0,8.0,-265.12,133.148,6.0,64.0
125,0.0,0.0,8.0,8.0,-175.186,6.555,6.0,64.0
126,0.0,0.0,8.0,8.0,-126.29,174.943,6.0,64.0
127,0.0,0.0,8.0,8.0,-237.971,177.163,6.0,64.0
128,0.0,0.0,8.0,8.0,-190.711,190.711,6.0,64.0
129,0.0,0.0,8.0,8.0,-172.15,189.772,6.0,64.0
130,0.0,0.0,8.0,8.0,-208.948,191.149,6.0,64.0
131,0.0,0.0,8.0,8.0,-272.413,117.507,6.0,64.0
132,0.0,0.0,8.0,8.0,-259.165,74.664,6.0,64.0
133,0.0,0.0,8.0,8.0,-268.274,90.698,6.0,64.0
134,0.0,0.0,8.0,8.0,-265.008,161.155,6.0,64.0
135,0.0,0.0,8.0,8.0,-120.764,-12.084,6.0,64.0
136,0.0,0.0,8.0,8.0,-273.413,146.443,6.0,64.0
137,0.0,0.0,8.0,8.0,-227.267,190.7,6.0,64.0
138,0.0,0.0,8.0,8.0,-249.909,56.518,6.0,64.0
139,0.0,0.0,8.0,8.0,-255.812,175.386,6.0,64.0
140,0.0,0.0,8.0,8.0,-150.498,190.449,6.0,64.0
141,0.0,0.0,8.0,8.0,-281.002,131.293,6.0,64.0
142,0.0,0.0,8.0,8.0,-278.784,101.469,6.0,64.0
143,0.0,0.0,8.0,8.0,-245.853,189.094,6.0,64.0
144,0.0,0.0,8.0,8.0,-94.397,163.5,6.0,64.0
145,0.0,0.0,8.0,8.0,-132.978,186.741,6.0,64.0
146,0.0,0.0,8.0,8.0,-227.405,29.021,6.0,64.0
147,0.0,0.0,8.0,8.0,-179.717,201.104,6.0,64.0
148,0.0,0.0,8.0,8.0,-81.916,154.993,6.0,64.0
149,0.0,0.0,8.0,8.0,-197.257,203.192,6.0,64.0
150,0.0,0.0,8.0,8.0,-214.862,19.715,6.0,64.0
151,0.0,0.0,8.0,8.0,-275.65,169.601,6.0,64.0
152,0.0,0.0,8.0,8.0,-239.805,37.599,6.0,64.0
153,0.0,0.0,8.0,8.0,-283.464,156.19,6.0,64.0
154,0.0,0.0,8.0,8.0,-215.794,203.592,6.0,64.0
155,0.0,0.0,8.0,8.0,-287.753,115.752,6.0,64.0
156,0.0,0.0,8.0,8.0,-161.337,199.046,6.0,64.0
157,0.0,0.0,8.0,8.0,-267.201,182.622,6.0,64.0
158,0.0,0.0,8.0,8.0,-273.176,74.645,6.0,64.0
